date,Z26,H27,M27,U27,Z27,H28,M28,U28,Z28,Z28_minus_Z27_bp,U27_minus_Z26_bp,Z27_minus_Z26_bp,Z28_minus_Z26_bp,U27_minus_Z27_bp,U27_minus_Z28_bp,H27_minus_Z26_bp,M28_minus_M27_bp
2026-08-19,2.8,2.935,3.0,3.01,2.99,2.975,2.97,2.97,2.98,-1.0,21.0,19.0,18.0,2.0,3.0,13.5,-3.0
2026-08-20,2.785,2.91,2.97,2.98,2.96,2.95,2.945,2.95,2.96,0.0,19.5,17.5,17.5,2.0,2.0,12.5,-2.5
2026-08-21,2.78,2.9,2.96,2.97,2.955,2.945,2.945,2.95,2.96,0.5,19.0,17.5,18.0,1.5,1.0,12.0,-1.5
2026-08-24,2.81,2.945,3.01,3.02,2.995,2.98,2.97,2.97,2.975,-2.0,21.0,18.5,16.5,2.5,4.5,13.5,-4.0
2026-08-25,2.78,2.89,2.945,2.95,2.93,2.915,2.91,2.91,2.92,-1.0,17.0,15.0,14.0,2.0,3.0,11.0,-3.5
2026-08-26,2.785,2.9,2.955,2.96,2.94,2.925,2.92,2.925,2.94,0.0,17.5,15.5,15.5,2.0,2.0,11.5,-3.5
2026-08-27,2.79,2.915,2.98,2.995,2.975,2.96,2.955,2.955,2.965,-1.0,20.5,18.5,17.5,2.0,3.0,12.5,-2.5
2026-08-28,2.81,2.95,3.03,3.055,3.035,3.015,3.005,3.0,3.005,-3.0,24.5,22.5,19.5,2.0,5.0,14.0,-2.5
2026-08-31,2.815,2.975,3.065,3.095,3.08,3.065,3.055,3.05,3.055,-2.5,28.0,26.5,24.0,1.5,4.0,16.0,-1.0
2026-09-01,2.835,3.0,3.095,3.125,3.11,3.09,3.08,3.075,3.08,-3.0,29.0,27.5,24.5,1.5,4.5,16.5,-1.5
2026-09-02,2.865,3.055,3.155,3.18,3.16,3.14,3.13,3.125,3.13,-3.0,31.5,29.5,26.5,2.0,5.0,19.0,-2.5
2026-09-03,2.845,3.02,3.11,3.13,3.11,3.09,3.08,3.08,3.085,-2.5,28.5,26.5,24.0,2.0,4.5,17.5,-3.0
2026-09-04,2.83,3.005,3.095,3.115,3.095,3.075,3.07,3.075,3.085,-1.0,28.5,26.5,25.5,2.0,3.0,17.5,-2.5
2026-09-07,2.855,3.045,3.145,3.175,3.16,3.14,3.13,3.13,3.14,-2.0,32.0,30.5,28.5,1.5,3.5,19.0,-1.5
2026-09-08,2.845,3.035,3.135,3.165,3.155,3.14,3.13,3.13,3.135,-2.0,32.0,31.0,29.0,1.0,3.0,19.0,-0.5
2026-09-09,2.875,3.095,3.22,3.265,3.265,3.25,3.235,3.23,3.23,-3.5,39.0,39.0,35.5,0.0,3.5,22.0,1.5
2026-09-10,3.01,3.3,3.445,3.485,3.46,3.42,3.385,3.365,3.35,-11.0,47.5,45.0,34.0,2.5,13.5,29.0,-6.0
2026-09-11,3.025,3.31,3.435,3.465,3.435,3.395,3.365,3.35,3.345,-9.0,44.0,41.0,32.0,3.0,12.0,28.5,-7.0
2026-09-14,3.075,3.405,3.555,3.595,3.565,3.515,3.47,3.445,3.425,-14.0,52.0,49.0,35.0,3.0,17.0,33.0,-8.5
2026-09-15,3.02,3.34,3.48,3.525,3.51,3.475,3.44,3.42,3.41,-10.0,50.5,49.0,39.0,1.5,11.5,32.0,-4.0
2026-09-16,3.0,3.3,3.43,3.46,3.435,3.4,3.375,3.36,3.355,-8.0,46.0,43.5,35.5,2.5,10.5,30.0,-5.5
2026-09-17,3.015,3.315,3.45,3.48,3.45,3.41,3.38,3.36,3.35,-10.0,46.5,43.5,33.5,3.0,13.0,30.0,-7.0
2026-09-18,3.05,3.38,3.54,3.585,3.565,3.53,3.495,3.47,3.455,-11.0,53.5,51.5,40.5,2.0,13.0,33.0,-4.5
