curve,symbol,contract,rate_from,rate_to,rate_chg_bp,price_chg
EURIBOR,IMU27,U27,3.114999999999995,3.5849999999999937,47.0,-0.47
EURIBOR,IMZ27,Z27,3.094999999999999,3.5649999999999977,47.0,-0.47
EURIBOR,IMH28,H28,3.075000000000003,3.530000000000001,45.5,-0.455
EURIBOR,IMM27,M27,3.094999999999999,3.5400000000000063,44.5,-0.445
SOFR,SQM27,M27,4.284999999999997,4.715000000000003,43.0,-0.43
SONIA,J8U27,U27,4.450000000000003,4.879999999999996,43.0,-0.43
SOFR,SQU27,U27,4.310000000000002,4.739999999999995,43.0,-0.43
EURIBOR,IMM28,M28,3.069999999999993,3.4950000000000045,42.5,-0.425
SONIA,J8Z27,Z27,4.439999999999998,4.859999999999999,42.0,-0.42
SOFR,SQZ27,Z27,4.290000000000006,4.709999999999994,42.0,-0.42
SONIA,J8M27,M27,4.415000000000006,4.819999999999993,40.5,-0.405
SOFR,SQH28,H28,4.269999999999996,4.670000000000002,40.0,-0.4
EURIBOR,IMU28,U28,3.075000000000003,3.469999999999999,39.5,-0.395
SONIA,J8H28,H28,4.424999999999997,4.814999999999998,39.0,-0.39
SOFR,SQH27,H27,4.200000000000003,4.584999999999994,38.5,-0.385
SOFR,SQM28,M28,4.254999999999996,4.635000000000005,38.0,-0.38
EURIBOR,IMH27,H27,3.0049999999999955,3.3799999999999955,37.5,-0.375
EURIBOR,IMZ28,Z28,3.0849999999999937,3.4549999999999983,37.0,-0.37
SOFR,SQU28,U28,4.2450000000000045,4.605000000000004,36.0,-0.36
SONIA,J8M28,M28,4.409999999999997,4.769999999999996,36.0,-0.36
SONIA,J8U28,U28,4.405000000000001,4.739999999999995,33.5,-0.335
SOFR,SQZ28,Z28,4.2450000000000045,4.575000000000003,33.0,-0.33
SONIA,J8H27,H27,4.310000000000002,4.629999999999996,32.0,-0.32
SONIA,J8Z28,Z28,4.415000000000006,4.724999999999994,31.0,-0.31
SOFR,SQZ26,Z26,4.060000000000002,4.325000000000003,26.5,-0.265
EURIBOR,IMZ26,Z26,2.8299999999999983,3.049999999999997,22.0,-0.22
SONIA,J8Z26,Z26,4.094999999999999,4.25,15.5,-0.155
SOFR,SQU26,U26,3.86,4.002499999999998,14.25,-0.1425
SONIA,J8U26,U26,3.8299999999999983,3.8499999999999934,2.0,-0.02
